frame	time	x	y	burst
2111	64	285	131	0
2112	193	285	131	0
2113	234	285	131	0
2114	276	285	131	0
2115	319	285	131	0
2116	365	285	131	0
2117	406	285	131	0
2118	448	285	131	0
2119	497	285	131	0
2120	542	285	131	0
2121	583	285	131	0
2122	627	285	131	0
2123	668	285	131	0
2124	710	285	131	0
2125	751	285	131	0
2126	801	285	131	0
2127	864	285	131	0
2128	906	285	131	0
2129	947	285	131	0
2130	991	285	131	0
2131	1036	285	131	0
2132	1083	285	131	0
2133	1126	285	131	0
2134	1167	285	131	0
2135	1208	285	131	0
2136	1254	285	131	0
2137	1296	285	131	0
2138	1337	285	131	0
2139	1378	285	131	0
2140	1426	285	131	0
2141	1469	285	131	0
2142	1510	285	130	0
2143	1553	285	130	0
2144	1598	285	130	0
2145	1643	285	130	0
2146	1685	285	131	0
2147	1730	285	131	0
2148	1772	285	131	0
2149	1827	285	131	0
2150	1869	285	131	0
2151	1917	285	131	0
2152	1959	285	131	0
2153	2000	285	131	0
2154	2043	285	131	0
2155	2085	285	131	0
2156	2129	285	131	0
2157	2171	285	131	0
2158	2214	285	130	0
2159	2255	285	130	0
2160	2297	285	130	0
2161	2338	285	130	0
2162	2379	285	130	0
2163	2424	285	130	0
2164	2469	285	130	0
2165	2511	285	130	0
2166	2554	285	130	0
2167	2595	285	130	0
2168	2639	285	130	0
2169	2691	285	130	0
2170	2734	285	130	0
2171	2775	285	130	0
2172	2833	285	130	0
2173	2876	285	130	0
2174	2918	285	130	0
2175	2961	285	130	0
2176	3005	285	130	0
2177	3046	285	130	0
2178	3094	285	131	0
2179	3161	285	131	0
2180	3202	285	131	0
2181	3243	285	131	0
2182	3285	285	131	0
2183	3329	285	131	0
2184	3374	285	131	0
2185	3416	285	131	0
2186	3458	285	131	0
2187	3499	285	131	0
2188	3543	285	131	0
2189	3584	285	131	0
2190	3637	285	131	0
2191	3679	285	131	0
2192	3723	285	131	0
2193	3765	285	131	0
2194	3814	285	131	0
2195	3861	285	131	0
2196	3927	285	131	0
2197	3968	285	131	0
2198	4011	285	131	0
2199	4054	285	131	0
2200	4101	285	131	0
2201	4147	285	131	0
2202	4193	285	131	0
2203	4234	285	131	0
2204	4275	285	131	0
2205	4317	285	131	0
2206	4364	285	132	0
2207	4405	285	133	0
2208	4446	285	133	0
2209	4496	285	133	0
2210	4559	284	133	0
2211	4600	283	133	0
2212	4646	282	133	0
2213	4694	282	133	0
2214	4736	282	133	0
2215	4780	283	134	0
2216	4832	283	134	0
2217	4873	283	135	0
2218	4914	283	135	0
2219	4962	283	135	0
2220	5005	283	135	0
2221	5046	283	136	0
2222	5091	283	136	0
2223	5138	284	136	0
2224	5200	283	137	0
2225	5242	283	137	0
2226	5284	283	137	0
2227	5327	283	137	0
2228	5368	283	137	0
2229	5411	283	137	0
2230	5453	283	137	0
2231	5497	283	137	0
2232	5539	283	137	0
2233	5580	283	137	0
2234	5632	283	137	0
2235	5673	283	137	0
2236	5714	283	137	0
2237	5761	283	137	0
2238	5804	283	137	0
2239	5859	283	137	0
2240	5901	283	137	0
2241	5942	283	137	0
2242	5984	283	137	0
2243	6034	283	137	0
2244	6077	283	137	0
2245	6119	283	137	0
2246	6162	283	137	0
2247	6203	283	137	0
2248	6246	283	137	0
2249	6294	283	137	0
2250	6336	283	137	0
2251	6382	283	137	0
2252	6425	283	137	0
2253	6469	283	137	0
2254	6528	283	137	0
2255	6572	283	137	0
2256	6624	283	137	0
2257	6693	283	137	0
2258	6734	283	137	0
2259	6776	283	137	0
2260	6822	283	137	0
2261	6866	283	137	0
2262	6909	283	137	0
2263	6950	283	137	0
2264	6994	283	137	0
2265	7036	283	137	0
2266	7083	283	137	0
2267	7127	283	137	0
2268	7168	283	137	0
2269	7212	283	137	0
2270	7263	283	137	0
2271	7305	283	137	0
2272	7346	283	137	0
2273	7390	283	137	0
2274	7467	283	137	0
2275	7530	283	137	0
2276	7571	283	137	0
2277	7613	283	137	0
2278	7656	283	137	0
2279	7699	283	137	0
2280	7741	283	137	0
2281	7793	283	137	0
2282	7834	283	137	0
2283	7878	283	137	0
2284	7919	283	137	0
2285	7962	283	137	0
2286	8003	283	137	0
2287	8046	283	137	0
2288	8087	283	137	0
2289	8132	283	137	0
2290	8173	283	137	0
2291	8225	283	137	0
2292	8270	283	137	0
2293	8328	283	137	0
2294	8369	283	137	0
2295	8414	283	137	0
2296	8456	283	137	0
2297	8504	283	137	0
2298	8546	283	137	0
2299	8587	283	137	0
2300	8631	283	137	0
2301	8672	283	137	0
2302	8713	283	137	0
2303	8758	283	137	0
2304	8802	283	137	0
2305	8844	283	137	0
2306	8887	283	137	0
2307	8934	283	137	0
2308	8976	283	137	0
2309	9018	283	137	0
2310	9064	283	137	0
2311	9105	283	137	0
2312	9158	282	138	0
2313	9202	282	138	0
2314	9245	282	138	0
2315	9295	282	138	0
2316	9336	282	138	0
2317	9377	282	138	0
2318	9427	282	138	0
2319	9494	282	138	0
2320	9535	282	138	0
2321	9576	282	138	0
2322	9632	282	138	0
2323	9696	282	138	0
2324	9737	282	138	0
2325	9794	282	138	0
2326	9839	282	138	0
2327	9882	282	138	0
2328	9927	282	138	0
2329	9968	282	138	0
2330	10033	282	138	0
2331	10074	282	138	0
2332	10117	282	138	0
2333	10160	282	138	0
2334	10203	282	138	0
