frame	time	x	y	burst
67100	33	334	203	0
67101	77	334	203	0
67102	129	334	203	0
67103	169	334	203	0
67104	210	334	203	0
67105	262	334	203	0
67106	303	334	203	0
67107	345	334	203	0
67108	400	334	203	0
67109	440	334	203	0
67110	481	334	203	0
67111	530	334	203	0
67112	597	334	203	0
67113	648	334	203	0
67114	697	334	203	0
67115	737	334	203	0
67116	781	334	203	0
67117	823	334	203	0
67118	864	334	203	0
67119	908	334	203	0
67120	951	334	203	0
67121	994	334	203	0
67122	1037	334	203	0
67123	1078	334	203	0
67124	1126	334	203	0
67125	1168	334	204	0
67126	1209	333	204	0
67127	1250	332	204	0
67128	1301	332	204	0
67129	1342	331	205	0
67130	1389	330	205	0
67131	1432	330	205	0
67132	1477	326	208	0
67133	1525	325	209	0
67134	1567	324	210	0
67135	1608	322	211	0
67136	1648	318	215	0
67137	1696	315	219	0
67138	1737	313	221	0
67139	1777	312	222	0
67140	1828	310	224	0
67141	1868	306	227	0
67142	1914	305	228	0
67143	1955	304	228	0
67144	2001	304	228	0
67145	2044	304	228	0
67146	2093	304	228	0
67147	2134	304	228	0
67148	2181	304	228	0
67149	2227	304	228	0
67150	2268	304	228	0
67151	2310	304	228	0
67152	2360	304	228	0
67153	2401	304	228	0
67154	2445	304	228	0
67155	2486	304	228	0
67156	2528	304	228	0
67157	2568	304	228	0
67158	2610	304	228	0
67159	2650	304	228	0
67160	2697	303	228	0
67161	2738	303	228	0
67162	2800	303	228	0
67163	2840	303	228	0
67164	2881	303	228	0
67165	2930	303	228	0
67166	2973	303	228	0
67167	3016	303	228	0
67168	3059	303	228	0
67169	3099	303	227	0
67170	3150	303	227	0
67171	3190	305	226	0
67172	3232	305	226	0
67173	3276	305	225	0
67174	3318	307	224	0
67175	3361	308	223	0
67176	3402	309	222	0
67177	3443	309	222	0
67178	3496	309	222	0
67179	3539	309	220	0
67180	3592	309	220	0
67181	3634	307	219	0
67182	3676	307	219	0
67183	3716	306	218	0
67184	3761	306	218	0
67185	3802	304	219	0
67186	3844	303	219	0
67187	3884	303	218	0
67188	3929	303	218	0
67189	3970	301	218	0
67190	4011	300	218	0
67191	4066	299	218	0
67192	4106	299	218	0
67193	4156	299	218	0
67194	4199	297	218	0
67195	4239	297	218	0
67196	4284	297	218	0
67197	4332	296	219	0
67198	4374	296	219	0
67199	4424	296	219	0
67200	4465	296	219	0
67201	4508	296	219	0
67202	4557	296	219	0
67203	4601	296	219	0
67204	4641	296	219	0
67205	4682	296	219	0
67206	4730	296	219	0
67207	4771	296	219	0
67208	4815	296	219	0
67209	4863	296	219	0
67210	4903	296	219	0
67211	4945	296	218	0
67212	4994	296	218	0
67213	5034	294	218	0
67214	5082	293	218	0
67215	5130	290	218	0
67216	5177	287	216	0
67217	5218	284	216	0
67218	5266	282	215	0
67219	5311	277	215	0
67220	5358	274	215	0
67221	5401	269	215	0
67222	5451	267	215	0
67223	5495	264	215	0
67224	5537	260	215	0
67225	5577	258	216	0
67226	5623	255	216	0
67227	5665	255	216	0
67228	5705	252	216	0
67229	5746	249	217	0
67230	5798	248	218	0
67231	5842	246	218	0
67232	5885	246	218	0
67233	5927	246	218	0
67234	5968	246	218	0
67235	6008	246	218	0
67236	6066	246	218	0
67237	6106	246	218	0
67238	6151	246	218	0
67239	6195	246	218	0
67240	6235	246	218	0
67241	6296	246	218	0
67242	6337	246	218	0
67243	6381	246	218	0
67244	6426	246	218	0
67245	6467	246	218	0
67246	6529	246	218	0
67247	6569	246	218	0
67248	6610	246	218	0
67249	6653	246	218	0
67250	6695	246	218	0
67251	6735	246	218	0
67252	6801	246	218	0
67253	6842	246	218	0
67254	6884	246	218	0
67255	6925	246	218	0
67256	6967	246	218	0
67257	7007	246	218	0
67258	7055	247	218	0
67259	7097	247	218	0
67260	7140	247	218	0
67261	7192	247	218	0
67262	7233	248	218	0
67263	7277	247	219	0
67264	7320	248	220	0
67265	7364	248	221	0
67266	7407	249	223	0
67267	7448	250	225	0
67268	7496	251	226	0
67269	7536	253	228	0
67270	7580	253	228	0
67271	7625	257	231	0
67272	7668	258	231	0
67273	7710	262	234	0
67274	7758	265	236	0
67275	7800	266	237	0
67276	7840	269	239	0
67277	7889	270	240	0
67278	7968	274	244	0
67279	8034	275	245	0
67280	8088	275	245	0
67281	8129	274	245	0
67282	8172	275	245	0
67283	8212	275	246	0
67284	8260	275	246	0
67285	8302	275	246	0
67286	8349	275	246	0
67287	8392	275	246	0
67288	8440	275	246	0
67289	8497	275	245	0
67290	8538	274	245	0
67291	8585	275	245	0
67292	8631	275	246	0
67293	8672	274	246	0
67294	8713	274	246	0
67295	8762	274	246	0
67296	8803	273	245	0
67297	8865	273	245	0
67298	8905	273	245	0
67299	8950	273	245	0
67300	8996	273	245	0
67301	9040	273	245	0
67302	9087	273	245	0
67303	9129	273	245	0
67304	9172	273	245	0
67305	9214	273	245	0
67306	9264	273	245	0
67307	9305	273	245	0
67308	9353	273	245	0
67309	9394	273	245	0
67310	9437	273	245	0
67311	9479	273	245	0
67312	9520	273	245	0
67313	9563	273	245	0
67314	9607	273	245	0
67315	9648	273	245	0
67316	9698	273	245	0
67317	9741	273	245	0
67318	9793	273	245	0
67319	9837	273	246	0
67320	9896	273	246	0
67321	9938	273	246	0
67322	9985	273	246	0
67323	10027	273	246	0
67324	10072	273	246	0
67325	10129	271	248	0
67326	10171	270	249	0
67327	10221	268	251	0
67328	10264	267	252	0
67329	10311	263	256	0
67330	10353	262	257	0
67331	10403	258	260	0
67332	10448	256	263	0
67333	10496	254	265	0
67334	10541	252	267	0
67335	10584	250	269	0
67336	10630	249	271	0
67337	10672	245	274	0
67338	10718	244	275	0
67339	10765	242	277	0
67340	10808	241	278	0
67341	10850	239	281	0
67342	10897	238	282	0
67343	10939	236	283	0
67344	10986	236	283	0
67345	11028	235	284	0
67346	11075	236	284	0
67347	11131	236	285	0
67348	11172	236	285	0
67349	11215	236	285	0
67350	11258	236	285	0
67351	11302	236	285	0
67352	11344	236	285	0
67353	11396	236	285	0
67354	11442	237	285	0
67355	11498	236	286	0
67356	11540	236	286	0
67357	11592	236	286	0
67358	11635	236	286	0
67359	11679	236	286	0
67360	11727	236	286	0
67361	11771	236	286	0
67362	11818	236	286	0
67363	11862	236	286	0
67364	11904	236	286	0
67365	11968	236	286	0
67366	12033	236	286	0
67367	12074	236	286	0
67368	12120	236	286	0
67369	12166	236	286	0
67370	12211	235	286	0
67371	12255	235	286	0
67372	12298	233	287	0
67373	12344	229	289	0
67374	12386	228	290	0
67375	12436	226	292	0
67376	12478	224	296	0
67377	12527	224	297	0
67378	12568	222	299	0
67379	12616	221	302	0
67380	12660	220	304	0
67381	12703	220	304	0
67382	12748	217	308	0
67383	12796	217	309	0
67384	12838	217	309	0
67385	12880	216	309	0
67386	12929	216	309	0
67387	12971	215	310	0
67388	13017	214	310	0
67389	13063	211	310	0
67390	13105	211	309	0
67391	13147	209	309	0
67392	13202	207	308	0
67393	13246	203	307	0
67394	13288	202	306	0
67395	13331	198	305	0
67396	13375	196	304	0
67397	13423	196	303	0
67398	13466	192	303	0
67399	13508	192	302	0
67400	13556	192	302	0
67401	13603	192	302	0
67402	13647	191	300	0
67403	13689	191	300	0
67404	13732	191	300	0
67405	13796	191	300	0
67406	13837	191	300	0
67407	13880	191	300	0
67408	13924	191	300	0
67409	13968	191	300	0
67410	14011	191	300	0
67411	14052	191	300	0
67412	14098	191	300	0
67413	14144	191	300	0
67414	14195	191	300	0
67415	14240	191	300	0
67416	14291	191	300	0
67417	14338	191	300	0
67418	14380	191	300	0
67419	14430	191	300	0
67420	14472	191	300	0
67421	14519	191	300	0
67422	14561	191	300	0
67423	14606	191	300	0
67424	14648	191	300	0
67425	14697	191	300	0
67426	14739	191	300	0
67427	14784	191	300	0
67428	14832	191	300	0
67429	14874	191	300	0
67430	14929	191	300	0
67431	14973	191	300	0
67432	15018	191	300	0
67433	15062	191	300	0
67434	15104	192	301	0
67435	15146	193	301	0
67436	15199	194	301	0
67437	15240	193	302	0
67438	15297	194	303	0
67439	15341	194	303	0
67440	15384	194	303	0
67441	15430	195	305	0
67442	15475	195	305	0
67443	15518	195	306	0
67444	15564	195	306	0
67445	15610	195	306	0
67446	15656	196	307	0
67447	15699	196	307	0
67448	15752	196	307	0
67449	15795	196	307	0
67450	15862	196	307	0
67451	15928	196	307	0
67452	15970	196	307	0
67453	16014	195	307	0
67454	16057	195	307	0
67455	16101	195	307	0
67456	16143	195	307	0
67457	16196	195	307	0
67458	16242	195	307	0
67459	16297	195	308	0
67460	16339	195	308	0
67461	16384	195	308	0
67462	16425	195	309	0
67463	16468	196	310	0
67464	16513	196	310	0
67465	16555	196	310	0
67466	16598	196	310	0
67467	16641	196	310	0
67468	16695	196	310	0
67469	16739	196	309	0
67470	16783	196	309	0
67471	16832	196	309	0
67472	16877	196	309	0
67473	16926	195	310	0
67474	16968	195	310	0
67475	17010	193	311	0
67476	17053	193	311	0
67477	17096	191	312	0
67478	17138	189	313	0
67479	17179	188	313	0
67480	17230	187	313	0
67481	17272	185	314	0
67482	17317	184	315	0
67483	17362	183	315	0
67484	17406	180	316	0
67485	17448	178	317	0
67486	17497	176	318	0
67487	17539	175	319	0
67488	17640	173	320	0
67489	17691	171	321	0
67490	17736	171	321	0
67491	17784	171	321	0
67492	17829	170	322	0
67493	17872	170	322	0
67494	17914	170	322	0
67495	17963	170	322	0
67496	18005	170	322	0
67497	18054	170	322	0
67498	18098	170	322	0
67499	18142	170	322	0
67500	18188	171	322	0
67501	18232	170	323	0
67502	18275	170	323	0
67503	18317	171	323	0
67504	18367	171	323	0
67505	18410	171	323	0
67506	18456	170	324	0
67507	18501	170	323	0
67508	18552	170	323	0
67509	18597	170	323	0
67510	18639	170	323	0
67511	18686	170	323	0
67512	18729	170	323	0
67513	18773	170	323	0
67514	18820	170	323	0
67515	18867	171	323	0
67516	18909	170	324	0
67517	18959	170	324	0
67518	19000	170	324	0
67519	19047	170	324	0
67520	19095	169	324	0
67521	19137	169	324	0
67522	19181	169	324	0
67523	19232	169	324	0
67524	19274	169	324	0
67525	19321	169	324	0
67526	19395	169	324	0
67527	19440	169	324	0
67528	19493	169	324	0
67529	19536	169	324	0
67530	19578	169	324	0
67531	19625	169	324	0
67532	19667	169	324	0
67533	19715	169	324	0
67534	19762	169	324	0
67535	19805	169	324	0
67536	19848	169	324	0
67537	19896	169	324	0
67538	19938	169	324	0
67539	20035	169	324	0
67540	20097	169	324	0
67541	20141	170	324	0
67542	20194	169	325	0
67543	20239	168	326	0
67544	20295	167	328	0
67545	20339	165	330	0
67546	20386	165	331	0
67547	20433	163	333	0
67548	20477	161	335	0
67549	20520	161	336	0
67550	20563	161	336	0
67551	20607	159	337	0
67552	20649	159	337	0
67553	20696	159	337	0
67554	20741	159	337	0
67555	20792	159	337	0
67556	20837	159	337	0
67557	20879	159	337	0
67558	20930	159	337	0
67559	20973	159	337	0
67560	21022	159	337	0
67561	21064	159	337	0
67562	21109	160	337	0
67563	21163	160	337	0
67564	21207	160	337	0
67565	21252	160	337	0
67566	21296	160	337	0
67567	21340	160	337	0
67568	21395	159	338	0
67569	21500	159	338	0
67570	21562	159	338	0
67571	21607	159	338	0
67572	21652	159	338	0
67573	21698	159	338	0
67574	21742	159	338	0
67575	21785	159	338	0
67576	21829	159	338	0
67577	21872	159	338	0
67578	21913	159	338	0
67579	21964	159	338	0
67580	22008	160	338	0
67581	22065	158	339	0
67582	22109	158	339	0
67583	22162	158	339	0
67584	22206	158	339	0
67585	22249	158	339	0
67586	22298	158	339	0
67587	22340	158	339	0
