frame	time	x	y	burst
16613	37	157	179	0
16614	102	157	179	0
16615	170	156	179	0
16616	236	155	179	0
16617	299	155	179	0
16618	364	155	179	0
16619	429	155	179	0
16620	500	155	178	0
16621	556	155	178	0
16622	624	151	178	0
16623	681	150	177	0
16624	738	146	177	0
16625	811	146	176	0
16626	873	146	176	0
16627	936	146	176	0
16628	999	146	176	0
16629	1063	146	176	0
16630	1117	146	176	0
16631	1175	146	176	0
16632	1230	146	176	0
16633	1286	147	176	0
16634	1338	146	177	0
16635	1401	146	177	0
16636	1458	146	177	0
16637	1518	147	177	0
16638	1577	145	179	0
16639	1629	145	179	0
16640	1699	145	179	0
16641	1753	145	179	0
16642	1812	146	179	0
16643	1872	146	179	0
16644	1933	146	180	0
16645	1996	144	182	0
16646	2050	144	182	0
16647	2106	143	183	0
16648	2168	142	184	0
16649	2236	142	184	0
16650	2297	142	185	0
16651	2349	142	185	0
16652	2408	142	185	0
16653	2471	142	185	0
16654	2534	142	185	0
16655	2597	142	185	0
16656	2652	142	184	0
16657	2709	142	184	0
16658	2770	142	184	0
16659	2828	142	185	0
16660	2884	142	185	0
16661	2936	141	186	0
16662	3000	141	187	0
16663	3067	141	187	0
16664	3120	141	187	0
16665	3181	141	187	0
16666	3237	141	187	0
16667	3292	141	187	0
16668	3349	141	187	0
16669	3401	140	188	0
16670	3486	140	188	0
16671	3545	140	188	0
16672	3605	140	188	0
16673	3668	140	188	0
16674	3725	140	188	0
16675	3782	140	188	0
16676	3836	140	188	0
16677	3898	140	188	0
16678	3962	140	188	0
16679	4025	140	188	0
16680	4079	140	188	0
16681	4136	140	189	0
16682	4195	140	188	0
16683	4252	140	188	0
16684	4322	140	188	0
16685	4390	140	188	0
16686	4444	140	188	0
16687	4504	140	188	0
16688	4558	141	187	0
16689	4616	141	187	0
16690	4667	141	187	0
16691	4738	141	187	0
16692	4795	141	186	0
16693	4853	141	187	0
16694	4915	141	186	0
16695	4967	141	187	0
16696	5028	141	186	0
16697	5086	141	186	0
16698	5148	141	186	0
16699	5208	141	186	0
16700	5263	142	186	0
16701	5321	142	186	0
16702	5378	141	187	0
16703	5436	141	187	0
16704	5503	141	187	0
16705	5557	141	187	0
16706	5620	141	186	0
16707	5682	141	186	0
16708	5734	141	187	0
16709	5811	141	187	0
16710	5877	141	187	0
16711	5943	141	187	0
16712	6001	141	186	0
16713	6054	141	186	0
16714	6124	141	187	0
16715	6181	141	186	0
16716	6245	141	187	0
16717	6309	141	187	0
16718	6380	141	187	0
16719	6439	141	187	0
16720	6510	141	187	0
16721	6576	141	186	0
16722	6638	141	186	0
16723	6709	141	186	0
16724	6774	141	186	0
16725	6840	141	187	0
16726	6894	141	186	0
16727	6952	141	187	0
16728	7020	141	186	0
16729	7076	141	187	0
16730	7131	141	187	0
16731	7193	141	187	0
16732	7250	141	187	0
16733	7302	141	187	0
16734	7365	140	188	0
16735	7421	140	188	0
16736	7478	140	188	0
16737	7534	140	188	0
16738	7612	140	188	0
16739	7675	140	188	0
16740	7726	140	188	0
16741	7783	140	188	0
16742	7843	139	188	0
16743	7900	138	188	0
16744	7958	137	188	0
16745	8016	137	188	0
16746	8077	136	188	0
16747	8135	134	188	0
16748	8205	131	189	0
16749	8268	130	189	0
16750	8335	129	189	0
16751	8387	128	189	0
16752	8451	126	189	0
16753	8510	124	188	0
16754	8567	123	189	0
16755	8634	122	189	0
16756	8688	121	188	0
16757	8760	121	189	0
16758	8813	121	188	0
16759	8878	121	188	0
16760	8935	121	188	0
16761	8994	121	188	0
16762	9051	121	188	0
16763	9109	121	189	0
16764	9167	121	189	0
16765	9227	121	189	0
16766	9285	121	189	0
16767	9354	121	189	0
16768	9412	121	189	0
16769	9471	121	189	0
16770	9530	121	189	0
16771	9593	121	189	0
16772	9650	121	189	0
16773	9714	121	189	0
16774	9779	121	189	0
16775	9833	121	190	0
16776	9899	120	191	0
16777	9963	120	191	0
16778	10029	120	192	0
16779	10099	119	193	0
16780	10154	119	193	0
16781	10221	119	193	0
16782	10277	119	193	0
16783	10333	117	194	0
16784	10392	117	194	0
16785	10453	117	194	0
16786	10516	117	194	0
16787	10568	117	194	0
16788	10630	117	194	0
16789	10688	117	194	0
16790	10748	117	194	0
16791	10808	117	194	0
16792	10861	117	194	0
16793	10917	117	194	0
16794	10979	117	194	0
16795	11042	117	194	0
16796	11095	117	194	0
16797	11162	117	194	0
16798	11217	117	194	0
16799	11278	117	194	0
16800	11341	117	194	0
16801	11406	117	194	0
16802	11473	117	194	0
16803	11537	117	194	0
16804	11592	117	194	0
16805	11670	117	194	0
16806	11736	117	194	0
16807	11793	117	194	0
16808	11851	117	194	0
16809	11910	117	194	0
16810	11968	117	194	0
16811	12024	117	194	0
16812	12082	117	194	0
16813	12147	117	194	0
16814	12210	117	194	0
16815	12266	117	194	0
16816	12331	117	194	0
16817	12384	117	194	0
16818	12451	117	194	0
16819	12532	117	194	0
16820	12595	117	194	0
16821	12659	117	194	0
16822	12712	117	194	0
16823	12773	117	194	0
16824	12834	117	194	0
16825	12890	117	194	0
16826	12956	117	194	0
16827	13022	117	194	0
16828	13078	117	194	0
16829	13132	117	194	0
16830	13192	117	194	0
16831	13250	117	194	0
16832	13309	117	194	0
16833	13366	117	194	0
16834	13424	117	194	0
16835	13480	117	194	0
16836	13541	117	194	0
16837	13597	117	194	0
16838	13655	117	194	0
16839	13714	117	194	0
16840	13766	117	194	0
16841	13829	117	194	0
16842	13885	117	194	0
16843	13944	117	194	0
16844	14002	117	194	0
16845	14058	117	194	0
16846	14117	117	194	0
16847	14179	117	194	0
16848	14251	117	194	0
16849	14318	117	194	0
16850	14384	117	194	0
16851	14448	117	194	0
16852	14509	117	194	0
16853	14568	117	194	0
16854	14630	117	194	0
16855	14690	117	194	0
16856	14747	117	194	0
16857	14806	117	194	0
16858	14865	117	193	0
16859	14932	117	193	0
16860	14998	117	193	0
16861	15057	117	193	0
16862	15111	116	193	0
16863	15168	116	193	0
16864	15233	116	193	0
16865	15290	116	193	0
16866	15350	116	193	0
16867	15415	116	193	0
16868	15483	116	193	0
16869	15545	116	193	0
16870	15606	114	194	0
16871	15668	114	194	0
16872	15734	114	195	0
16873	15799	114	197	0
16874	15852	114	198	0
16875	15913	114	198	0
16876	15972	114	200	0
16877	16026	114	200	0
16878	16095	114	200	0
16879	16151	115	201	0
16880	16220	115	200	0
16881	16291	116	200	0
16882	16345	117	200	0
16883	16410	118	200	0
16884	16464	119	200	0
16885	16521	119	199	0
16886	16578	120	199	0
16887	16639	121	199	0
16888	16696	121	199	0
16889	16752	122	198	0
16890	16814	122	198	0
16891	16875	122	198	0
16892	16937	122	198	0
