frame	time	x	y	burst
200810	34	164	108	0
200811	76	162	107	0
200812	137	158	106	0
200813	203	152	103	0
200814	257	149	102	0
200815	301	149	101	0
200816	343	142	99	0
200817	385	141	98	0
200818	429	139	97	0
200819	472	137	96	0
200820	514	132	94	0
200821	556	131	92	0
200822	597	131	91	0
200823	641	130	91	0
200824	683	130	91	0
200825	731	130	91	0
200826	773	130	92	0
200827	820	130	92	0
200828	864	130	92	0
200829	908	130	93	0
200830	950	131	94	0
200831	992	130	95	0
200832	1035	130	95	0
200833	1077	130	95	0
200834	1118	130	95	0
200835	1166	130	95	0
200836	1207	130	95	0
200837	1249	130	95	0
200838	1290	130	95	0
200839	1333	130	95	0
200840	1374	130	94	0
200841	1434	130	94	0
200842	1475	130	94	0
200843	1516	130	94	0
200844	1561	130	94	0
200845	1604	130	94	0
200846	1645	130	94	0
200847	1687	130	94	0
200848	1730	132	94	0
200849	1772	131	94	0
200850	1833	133	94	0
200851	1874	133	94	0
200852	1915	134	95	0
200853	1959	134	95	0
200854	2004	135	96	0
200855	2045	135	95	0
200856	2099	135	95	0
200857	2140	137	93	0
200858	2183	137	94	0
200859	2224	137	94	0
200860	2268	137	94	0
200861	2309	137	94	0
200862	2365	137	94	0
200863	2406	138	93	0
200864	2466	138	93	0
200865	2507	139	92	0
200866	2549	139	92	0
200867	2590	139	92	0
200868	2634	140	91	0
200869	2674	140	91	0
200870	2715	140	91	0
200871	2756	141	90	0
200872	2800	142	90	0
200873	2841	142	90	0
200874	2883	143	90	0
200875	2925	143	90	0
200876	2973	143	90	0
200877	3014	143	89	0
200878	3056	144	88	0
200879	3100	145	87	0
200880	3141	146	86	0
200881	3184	147	85	0
200882	3233	148	84	0
200883	3274	148	83	0
200884	3315	148	83	0
200885	3356	149	81	0
200886	3400	150	80	0
200887	3448	150	79	0
200888	3489	151	76	0
200889	3531	152	74	0
200890	3572	152	72	0
200891	3616	151	71	0
200892	3657	152	70	0
200893	3702	152	70	0
200894	3743	152	69	0
200895	3787	152	69	0
200896	3829	153	67	0
200897	3871	153	67	0
200898	3914	154	65	0
200899	3955	154	64	0
200900	3999	155	63	0
200901	4042	156	60	0
200902	4090	156	59	0
200903	4138	156	58	0
200904	4179	156	57	0
200905	4220	156	57	0
200906	4261	156	56	0
200907	4303	157	56	0
200908	4344	157	55	0
200909	4386	157	55	0
200910	4429	157	55	0
200911	4471	157	55	0
200912	4513	157	55	0
200913	4554	157	55	0
200914	4596	157	54	0
200915	4637	157	54	0
200916	4678	157	53	0
200917	4728	157	53	0
200918	4769	157	52	0
200919	4813	157	50	0
200920	4867	157	48	0
200921	4908	156	47	0
200922	4949	155	46	0
200923	4993	155	45	0
200924	5038	156	44	0
200925	5079	156	44	0
200926	5122	157	44	0
200927	5164	157	45	0
200928	5205	157	43	0
200929	5247	158	42	0
200930	5288	159	40	0
200931	5331	160	41	0
200932	5375	161	40	0
200933	5417	162	39	0
200934	5458	162	39	0
200935	5501	164	38	0
200936	5542	166	36	0
200937	5587	166	36	0
200938	5632	169	35	0
200939	5673	171	33	0
200940	5715	172	33	0
200941	5756	173	33	0
200942	5802	174	32	0
200943	5844	176	31	0
200944	5885	179	30	0
200945	5931	181	27	0
200946	5976	182	27	0
200947	6020	184	28	0
200948	6063	185	27	0
200949	6113	186	26	0
200950	6170	191	23	0
200951	6211	193	23	0
200952	6252	194	23	0
200953	6293	195	23	0
200954	6337	196	23	0
200955	6378	200	22	0
200956	6419	202	21	0
200957	6499	206	18	0
200958	6540	209	17	0
200959	6581	209	17	0
200960	6627	210	17	0
200961	6671	211	17	0
200962	6712	212	17	0
200963	6753	213	17	0
200964	6799	213	18	0
200965	6841	214	20	0
200966	6898	219	21	0
200967	6970	222	22	0
200968	7011	225	22	0
200969	7052	227	22	0
200970	7093	229	22	0
200971	7170	239	22	0
200972	7232	244	21	0
200973	7299	248	20	0
200974	7340	250	19	0
200975	7381	251	18	0
200976	7423	252	18	0
200977	7467	253	17	0
200978	7508	254	14	0
200979	7549	255	13	0
200980	7591	256	12	0
200981	7634	257	12	0
200982	7675	258	12	0
200983	7719	258	13	0
200984	7771	261	14	0
200985	7813	264	15	0
200986	7854	266	16	0
200987	7899	270	18	0
200988	7940	272	18	0
200989	7983	274	19	0
200990	8023	277	21	0
200991	8067	280	21	0
200992	8109	283	22	0
200993	8150	285	22	0
200994	8191	287	22	0
200995	8235	291	22	0
200996	8280	294	22	0
200997	8321	295	22	0
200998	8364	296	22	0
200999	8405	300	22	0
201000	8449	302	22	0
201001	8489	304	22	0
201002	8532	305	22	0
201003	8575	307	22	0
201004	8616	311	22	0
201005	8657	313	21	0
201006	8703	314	21	0
201007	8744	316	21	0
201008	8799	318	22	0
201009	8865	319	23	0
201010	8906	319	24	0
201011	8950	319	25	0
201012	8992	321	27	0
201013	9035	320	28	0
201014	9077	322	30	0
201015	9120	324	32	0
201016	9165	326	34	0
201017	9207	329	36	0
201018	9266	334	39	0
201019	9307	334	39	0
201020	9349	336	40	0
201021	9391	339	42	0
201022	9436	340	43	0
201023	9478	344	45	0
201024	9521	346	45	0
201025	9564	348	45	0
201026	9606	351	45	0
201027	9647	354	43	0
201028	9688	356	42	0
201029	9735	360	41	0
201030	9776	360	41	0
201031	9834	365	38	0
201032	9875	367	37	0
201033	9921	367	37	0
201034	9964	368	37	0
201035	10032	368	38	0
201036	10074	368	39	0
201037	10115	367	39	0
201038	10156	367	40	0
201039	10198	367	42	0
