[1] Speed Table:
       speeds   group
1    9.652300      CS
2   10.456335      CS
3    9.778964      CS
4   12.067093      CS
5    7.800555      CS
6   10.078561      CS
7    7.816788      CS
8   12.986589      CS
9   11.112673      CS
10   5.907237      CS
11   9.695012      CS
12  13.155648      CS
13   6.074061      CS
14  14.911603      CS
15   7.622997      CS
16   6.488328      CS
17  13.078560      CS
18   5.739961      CS
19   2.486885      CS
20   8.397750      CS
21   3.518916  dunce1
22   7.916273  dunce1
23  11.919577  dunce1
24   7.772903  dunce1
25   5.834643  dunce1
26   5.547148  dunce1
27   2.436331  dunce1
28   8.233967  dunce1
29   6.239146  dunce1
30   4.154951  dunce1
31   7.812813  dunce1
32   7.124405  dunce1
33   6.228602  dunce1
34   7.676665  dunce1
35  10.443291  dunce1
36   6.651076  dunce1
37   9.940540  dunce1
38   8.138988  dunce1
39   3.334675  dunce1
40   1.763737  dunce1
41   5.531589  radish
42   9.015649  radish
43   8.666091  radish
44   7.971706  radish
45   7.703681  radish
46  11.186211  radish
47   9.272224  radish
48   6.091501  radish
49   2.877475  radish
50   8.709165  radish
51   8.983905  radish
52   3.092242  radish
53   2.746418  radish
54   6.851403  radish
55   5.581316  radish
56   5.405080  radish
57   4.012037  radish
58   4.070584  radish
59   3.493305  radish
60   3.210382  radish
61   3.807145    rut1
62   4.709430    rut1
63   3.589461    rut1
64   9.333342    rut1
65   6.518677    rut1
66   6.756866    rut1
67   7.328057    rut1
68   5.784324    rut1
69   8.457476    rut1
70   5.522468    rut1
71   6.104349    rut1
72   2.447361    rut1
73   2.587782    rut1
74   2.280561    rut1
75   2.261210    rut1
76   5.005254    rut1
77   6.226117    rut1
78   4.663975    rut1
79   6.946405    rut1
80   3.772279    rut1
81  12.113920 rut2080
82  12.425865 rut2080
83  12.010161 rut2080
84   9.718934 rut2080
85  12.041240 rut2080
86   9.073906 rut2080
87  12.584670 rut2080
88  13.653654 rut2080
89  12.148881 rut2080
90  14.101587 rut2080
