frame	time	x	y	burst
126026	35	231	248	0
126027	109	231	248	0
126028	166	231	248	0
126029	226	231	249	0
126030	285	231	248	0
126031	348	231	249	0
126032	414	231	249	0
126033	476	231	248	0
126034	539	231	248	0
126035	605	231	248	0
126036	664	231	248	0
126037	724	231	248	0
126038	783	231	248	0
126039	850	231	248	0
126040	910	231	248	0
126041	975	231	248	0
126042	1040	231	248	0
126043	1108	231	248	0
126044	1173	231	248	0
126045	1241	231	248	0
126046	1298	231	248	0
126047	1361	231	248	0
126048	1423	231	248	0
126049	1482	231	248	0
126050	1543	231	248	0
126051	1604	231	248	0
126052	1675	231	248	0
126053	1743	231	248	0
126054	1813	231	248	0
126055	1876	231	248	0
126056	1941	231	248	0
126057	2010	231	248	0
126058	2071	231	248	0
126059	2135	231	248	0
126060	2206	231	248	0
126061	2270	231	248	0
126062	2329	231	248	0
126063	2391	231	248	0
126064	2453	231	248	0
126065	2521	231	247	0
126066	2585	232	248	0
126067	2645	232	248	0
126068	2716	232	247	0
126069	2781	232	247	0
126070	2853	232	247	0
126071	2912	232	247	0
126072	2982	232	247	0
126073	3041	232	248	0
126074	3106	232	248	0
126075	3175	232	248	0
126076	3235	232	248	0
126077	3308	232	248	0
126078	3377	232	249	0
126079	3441	232	249	0
126080	3508	232	249	0
126081	3577	232	249	0
126082	3646	232	249	0
126083	3705	232	249	0
126084	3769	232	249	0
126085	3829	232	249	0
126086	3890	232	249	0
126087	3952	232	249	0
126088	4026	232	249	0
126089	4086	232	249	0
126090	4148	232	249	0
126091	4209	232	249	0
126092	4277	232	249	0
126093	4340	232	249	0
126094	4412	232	249	0
126095	4471	232	249	0
126096	4544	232	249	0
126097	4603	232	249	0
126098	4662	232	249	0
126099	4723	232	249	0
126100	4787	232	249	0
126101	4853	232	249	0
126102	4919	232	249	0
126103	4979	232	249	0
126104	5041	232	249	0
126105	5106	232	249	0
126106	5183	232	249	0
126107	5253	232	249	0
126108	5321	232	249	0
126109	5389	232	249	0
126110	5463	232	249	0
126111	5522	232	249	0
126112	5578	232	249	0
126113	5638	232	249	0
126114	5699	232	249	0
126115	5759	232	249	0
126116	5822	232	249	0
126117	5878	232	249	0
126118	5940	232	249	0
126119	6018	232	249	0
126120	6073	232	249	0
126121	6142	232	249	0
126122	6201	232	249	0
126123	6262	232	249	0
126124	6322	232	249	0
126125	6387	232	249	0
126126	6453	232	249	0
126127	6513	232	249	0
126128	6574	232	249	0
126129	6644	232	249	0
126130	6705	232	249	0
