frame	time	x	y	burst
33316	42	361	168	0
33317	102	362	168	0
33318	166	362	168	0
33319	222	362	168	0
33320	293	362	168	0
33321	359	362	168	0
33322	417	362	168	0
33323	484	362	168	0
33324	544	362	168	0
33325	612	362	168	0
33326	673	362	168	0
33327	742	362	168	0
33328	801	362	168	0
33329	858	362	168	0
33330	916	362	168	0
33331	988	362	168	0
33332	1045	362	168	0
33333	1102	362	168	0
33334	1164	362	168	0
33335	1220	362	168	0
33336	1277	362	168	0
33337	1343	362	168	0
33338	1405	362	168	0
33339	1463	362	168	0
33340	1534	362	168	0
33341	1591	362	168	0
33342	1658	362	168	0
33343	1724	362	168	0
33344	1784	362	168	0
33345	1848	362	168	0
33346	1909	362	168	0
33347	1964	362	168	0
33348	2023	362	168	0
33349	2085	362	168	0
33350	2145	362	168	0
33351	2225	362	168	0
33352	2282	362	168	0
33353	2341	362	168	0
33354	2416	362	168	0
33355	2481	362	168	0
33356	2536	362	168	0
33357	2598	362	168	0
33358	2654	362	168	0
33359	2719	361	168	0
33360	2779	361	168	0
33361	2844	361	168	0
33362	2902	361	168	0
33363	2957	361	168	0
33364	3016	361	168	0
33365	3077	361	168	0
33366	3147	361	168	0
33367	3218	361	168	0
33368	3275	361	168	0
33369	3346	361	168	0
33370	3417	361	167	0
33371	3486	362	167	0
33372	3546	362	166	0
33373	3613	362	166	0
33374	3679	362	166	0
33375	3736	362	166	0
33376	3800	362	166	0
33377	3870	362	166	0
33378	3929	362	166	0
33379	4006	362	166	0
33380	4059	362	166	0
33381	4120	362	167	0
33382	4184	362	167	0
33383	4253	362	167	0
33384	4311	362	167	0
33385	4370	362	167	0
33386	4426	362	167	0
33387	4490	362	167	0
33388	4549	362	167	0
33389	4619	362	167	0
33390	4686	362	167	0
33391	4744	362	167	0
33392	4811	362	167	0
33393	4874	362	167	0
33394	4933	362	167	0
33395	4993	362	167	0
33396	5064	362	167	0
33397	5125	362	167	0
33398	5189	362	167	0
33399	5276	362	167	0
33400	5372	362	167	0
33401	5554	362	167	0
33402	5645	362	167	0
33403	5713	362	167	0
33404	5779	362	167	0
33405	5842	362	167	0
33406	5897	362	167	0
33407	5961	362	167	0
33408	6020	362	167	0
33409	6087	362	167	0
33410	6155	362	167	0
33411	6211	362	167	0
33412	6268	362	167	0
33413	6330	362	167	0
33414	6392	362	167	0
33415	6457	362	167	0
33416	6518	362	167	0
33417	6573	362	167	0
33418	6629	362	167	0
33419	6692	362	167	0
33420	6763	362	167	0
33421	6831	362	167	0
33422	6891	362	167	0
33423	6953	362	167	0
33424	7019	362	167	0
33425	7085	362	167	0
33426	7143	362	167	0
33427	7209	362	167	0
33428	7264	362	167	0
33429	7331	362	167	0
33430	7395	362	167	0
33431	7450	362	166	0
33432	7506	362	166	0
33433	7578	362	166	0
33434	7642	362	166	0
33435	7705	362	166	0
33436	7766	362	166	0
33437	7830	362	166	0
33438	7895	362	166	0
33439	7959	362	166	0
33440	8019	362	166	0
33441	8082	362	165	0
33442	8143	363	165	0
33443	8207	363	165	0
33444	8268	363	165	0
33445	8329	362	165	0
33446	8387	362	165	0
33447	8442	362	165	0
33448	8511	362	165	0
33449	8578	362	165	0
33450	8644	362	165	0
33451	8700	363	165	0
33452	8758	363	165	0
33453	8827	363	165	0
33454	8885	364	165	0
33455	8940	364	165	0
33456	9009	364	165	0
33457	9080	364	165	0
33458	9141	364	165	0
33459	9194	364	165	0
33460	9256	364	165	0
33461	9316	364	165	0
33462	9373	365	165	0
33463	9439	364	166	0
33464	9503	364	166	0
33465	9575	364	166	0
33466	9626	364	166	0
33467	9687	364	166	0
33468	9743	363	167	0
33469	9807	363	167	0
33470	9864	363	167	0
33471	9925	363	167	0
33472	9984	363	167	0
33473	10040	363	167	0
33474	10108	363	167	0
33475	10172	363	167	0
33476	10234	363	167	0
33477	10303	363	167	0
33478	10358	363	167	0
33479	10421	363	167	0
33480	10473	363	167	0
33481	10550	363	167	0
33482	10610	363	167	0
33483	10671	363	167	0
33484	10745	363	167	0
33485	10810	363	167	0
33486	10874	363	167	0
33487	10943	363	167	0
33488	11007	363	167	0
33489	11074	363	167	0
33490	11130	363	167	0
33491	11203	363	167	0
33492	11271	363	167	0
33493	11332	363	167	0
33494	11385	363	167	0
33495	11442	363	167	0
33496	11513	363	167	0
33497	11574	363	167	0
33498	11627	363	167	0
33499	11686	363	167	0
33500	11743	363	167	0
33501	11809	363	167	0
33502	11870	363	167	0
33503	11928	363	167	0
33504	11988	363	167	0
33505	12056	363	167	0
33506	12112	363	167	0
33507	12171	363	167	0
33508	12244	363	167	0
33509	12301	363	167	0
33510	12357	363	167	0
33511	12418	363	167	0
33512	12473	363	167	0
33513	12544	363	167	0
33514	12607	364	167	0
33515	12662	364	167	0
33516	12735	364	167	0
33517	12788	365	167	0
33518	12857	365	167	0
33519	12917	365	167	0
33520	12972	365	167	0
33521	13040	365	167	0
33522	13113	365	167	0
33523	13171	365	167	0
33524	13225	365	167	0
33525	13287	365	167	0
33526	13342	365	167	0
33527	13400	364	167	0
33528	13460	364	167	0
33529	13517	364	167	0
33530	13577	364	167	0
33531	13640	364	167	0
33532	13697	364	167	0
33533	13767	364	167	0
33534	13821	364	167	0
33535	13878	364	167	0
33536	13951	364	167	0
33537	14014	364	167	0
33538	14080	364	167	0
33539	14153	364	167	0
33540	14215	364	167	0
33541	14288	364	167	0
33542	14351	364	167	0
33543	14411	364	167	0
33544	14466	364	167	0
33545	14532	364	167	0
33546	14598	364	167	0
33547	14664	364	167	0
33548	14722	364	167	0
33549	14784	364	167	0
33550	14840	364	167	0
33551	14910	364	167	0
33552	14969	364	167	0
33553	15027	364	167	0
33554	15095	364	167	0
33555	15150	364	167	0
33556	15206	364	167	0
33557	15277	364	167	0
33558	15344	364	167	0
33559	15410	364	167	0
33560	15473	364	167	0
33561	15528	364	167	0
33562	15588	364	167	0
33563	15651	364	167	0
33564	15709	364	167	0
33565	15764	364	167	0
33566	15821	364	167	0
33567	15892	364	167	0
33568	15951	364	167	0
33569	16007	364	167	0
33570	16078	364	167	0
33571	16144	364	167	0
33572	16201	364	167	0
33573	16259	364	167	0
33574	16320	365	167	0
33575	16386	365	167	0
33576	16446	365	167	0
33577	16510	364	168	0
33578	16573	364	168	0
33579	16637	364	168	0
33580	16694	364	168	0
33581	16753	364	168	0
33582	16817	364	168	0
33583	16871	364	168	0
33584	16931	364	167	0
33585	16991	362	168	0
33586	17047	362	168	0
33587	17104	362	168	0
33588	17172	362	168	0
33589	17242	362	168	0
33590	17300	362	167	0
33591	17357	362	167	0
33592	17413	362	167	0
33593	17470	362	167	0
33594	17538	362	167	0
33595	17592	362	167	0
33596	17652	362	167	0
33597	17705	362	167	0
33598	17786	362	167	0
33599	17844	362	167	0
33600	17905	362	167	0
33601	17968	362	167	0
33602	18024	362	167	0
33603	18086	362	167	0
33604	18146	362	167	0
33605	18202	362	167	0
33606	18267	362	167	0
33607	18330	362	167	0
33608	18404	362	167	0
33609	18458	362	167	0
33610	18526	362	167	0
33611	18591	362	167	0
33612	18655	362	167	0
